1,50,50,0,228,48,0,0,2,7,0,0
2,125,93,200,200,200,0,3,9,8,7,1
3,200,50,0,228,48,0,0,4,9,2,0
4,275,93,200,200,200,0,5,11,10,9,3
5,350,50,0,228,48,0,0,6,11,4,0
6,425,93,200,200,200,0,0,0,12,11,5
7,50,137,200,200,200,1,2,8,13,0,0
8,125,180,0,228,48,2,9,15,14,13,7
9,200,137,200,200,200,3,4,10,15,8,2
10,275,180,0,228,48,4,11,17,16,15,9
11,350,137,200,200,200,5,6,12,17,10,4
12,425,180,0,228,48,6,0,0,18,17,11
13,50,223,0,228,48,7,8,14,19,0,0
14,125,267,200,200,200,8,15,21,20,19,13
15,200,223,0,228,48,9,10,16,21,14,8
16,275,267,200,200,200,10,17,23,22,21,15
17,350,223,0,228,48,11,12,18,23,16,10
18,425,267,200,200,200,12,0,0,24,23,17
19,50,310,200,200,200,13,14,20,25,0,0
20,125,353,0,228,48,14,21,27,26,25,19
21,200,310,200,200,200,15,16,22,27,20,14
22,275,353,0,228,48,16,23,29,28,27,21
23,350,310,200,200,200,17,18,24,29,22,16
24,425,353,0,228,48,18,0,0,30,29,23
25,50,396,0,228,48,19,20,26,0,0,0
26,125,440,200,200,200,20,27,0,0,0,25
27,200,396,0,228,48,21,22,28,0,26,20
28,275,440,200,200,200,22,29,0,0,0,27
29,350,396,0,228,48,23,24,30,0,28,22
30,425,440,200,200,200,24,0,0,0,0,29
